to,1992M12,from
Austria,0,Belgium
Denmark,0,Belgium
Greece,0,Belgium
Spain,0,Belgium
Finland,0,Belgium
Italy,0,Belgium
Luxembourg,0,Belgium
Romania,0,Belgium
Austria,270,Bulgaria
Belgium,505,Bulgaria
Germany,31540,Bulgaria
Denmark,20,Bulgaria
Greece,0,Bulgaria
Spain,490,Bulgaria
Finland,35,Bulgaria
France,115,Bulgaria
Italy,300,Bulgaria
Luxembourg,0,Bulgaria
Netherlands,195,Bulgaria
Romania,0,Bulgaria
Sweden,195,Bulgaria
United Kingdom,180,Bulgaria
Austria,0,Czech Republic
Denmark,0,Czech Republic
Greece,0,Czech Republic
Spain,0,Czech Republic
Finland,0,Czech Republic
Italy,0,Czech Republic
Luxembourg,0,Czech Republic
Romania,0,Czech Republic
Austria,0,Denmark
Denmark,0,Denmark
Greece,0,Denmark
Spain,0,Denmark
Finland,0,Denmark
Italy,0,Denmark
Luxembourg,0,Denmark
Romania,0,Denmark
Austria,0,Germany
Belgium,0,Germany
Denmark,0,Germany
Greece,0,Germany
Spain,0,Germany
Finland,0,Germany
Italy,0,Germany
Luxembourg,0,Germany
Romania,0,Germany
Sweden,5,Germany
Austria,0,Estonia
Belgium,5,Estonia
Denmark,110,Estonia
Greece,0,Estonia
Finland,20,Estonia
France,0,Estonia
Netherlands,0,Estonia
Portugal,0,Estonia
Romania,0,Estonia
Sweden,75,Estonia
Austria,0,Ireland
Denmark,0,Ireland
Greece,0,Ireland
Spain,0,Ireland
Finland,0,Ireland
Italy,0,Ireland
Luxembourg,0,Ireland
Romania,0,Ireland
Sweden,5,Ireland
Austria,0,Greece
Denmark,0,Greece
Greece,0,Greece
Spain,0,Greece
Finland,0,Greece
Italy,0,Greece
Luxembourg,0,Greece
Romania,0,Greece
Sweden,15,Greece
Austria,0,Spain
Denmark,0,Spain
Greece,0,Spain
Spain,0,Spain
Finland,0,Spain
Italy,0,Spain
Luxembourg,0,Spain
Romania,0,Spain
Sweden,5,Spain
Austria,0,France
Belgium,0,France
Denmark,0,France
Greece,0,France
Spain,0,France
Finland,0,France
Italy,0,France
Luxembourg,0,France
Romania,0,France
Austria,90,Croatia
Belgium,90,Croatia
Germany,1025,Croatia
Denmark,80,Croatia
Finland,0,Croatia
Netherlands,40,Croatia
Portugal,0,Croatia
Romania,0,Croatia
Sweden,190,Croatia
Austria,0,Italy
Denmark,0,Italy
Greece,0,Italy
Spain,0,Italy
Finland,0,Italy
Italy,0,Italy
Luxembourg,0,Italy
Romania,0,Italy
Sweden,5,Italy
Austria,0,Cyprus
Belgium,5,Cyprus
Denmark,0,Cyprus
Greece,0,Cyprus
Spain,0,Cyprus
Finland,0,Cyprus
Italy,0,Cyprus
Luxembourg,0,Cyprus
Romania,0,Cyprus
Austria,0,Latvia
Belgium,5,Latvia
Greece,0,Latvia
Spain,0,Latvia
Finland,0,Latvia
Netherlands,15,Latvia
Portugal,0,Latvia
Romania,0,Latvia
Sweden,5,Latvia
Austria,0,Lithuania
Belgium,0,Lithuania
Denmark,30,Lithuania
Greece,0,Lithuania
Finland,0,Lithuania
France,5,Lithuania
Netherlands,15,Lithuania
Portugal,0,Lithuania
Romania,0,Lithuania
Sweden,30,Lithuania
Austria,0,Luxembourg
Romania,0,Luxembourg
Austria,0,Hungary
Belgium,30,Hungary
Germany,1030,Hungary
Denmark,20,Hungary
Greece,0,Hungary
Spain,5,Hungary
Finland,5,Hungary
France,10,Hungary
Italy,0,Hungary
Luxembourg,0,Hungary
Netherlands,80,Hungary
Portugal,0,Hungary
Romania,0,Hungary
Sweden,40,Hungary
Austria,0,Malta
Denmark,0,Malta
Greece,0,Malta
Spain,0,Malta
Finland,0,Malta
Italy,0,Malta
Luxembourg,0,Malta
Romania,0,Malta
Austria,0,Netherlands
Denmark,0,Netherlands
Greece,0,Netherlands
Spain,0,Netherlands
Finland,0,Netherlands
Italy,0,Netherlands
Luxembourg,0,Netherlands
Romania,0,Netherlands
Sweden,0,Netherlands
Austria,0,Austria
Belgium,0,Austria
Denmark,0,Austria
Greece,0,Austria
Spain,0,Austria
Finland,0,Austria
Italy,0,Austria
Luxembourg,0,Austria
Romania,0,Austria
Sweden,5,Austria
Austria,10,Poland
Belgium,195,Poland
Germany,4210,Poland
Denmark,55,Poland
Greece,0,Poland
Spain,1245,Poland
Finland,5,Poland
France,130,Poland
Italy,0,Poland
Luxembourg,30,Poland
Netherlands,340,Poland
Portugal,5,Poland
Romania,0,Poland
Sweden,95,Poland
United Kingdom,90,Poland
Austria,0,Portugal
Denmark,0,Portugal
Greece,0,Portugal
Spain,0,Portugal
Finland,0,Portugal
Italy,0,Portugal
Luxembourg,0,Portugal
Romania,0,Portugal
Sweden,5,Portugal
Austria,2610,Romania
Belgium,3400,Romania
Germany,103785,Romania
Denmark,95,Romania
Greece,0,Romania
Spain,945,Romania
Finland,50,Romania
France,2205,Romania
Italy,950,Romania
Luxembourg,15,Romania
Netherlands,960,Romania
Portugal,175,Romania
Romania,0,Romania
Sweden,515,Romania
United Kingdom,305,Romania
Austria,5,Slovenia
Belgium,5,Slovenia
Germany,67410,Slovenia
Denmark,0,Slovenia
Romania,0,Slovenia
Sweden,20,Slovenia
Austria,0,Slovakia
Denmark,0,Slovakia
Greece,0,Slovakia
Spain,0,Slovakia
Finland,0,Slovakia
Italy,0,Slovakia
Luxembourg,0,Slovakia
Romania,0,Slovakia
Austria,0,Finland
Denmark,0,Finland
Greece,0,Finland
Spain,0,Finland
Finland,0,Finland
Italy,0,Finland
Luxembourg,0,Finland
Romania,0,Finland
Austria,0,Sweden
Denmark,0,Sweden
Greece,0,Sweden
Spain,0,Sweden
Finland,0,Sweden
Italy,0,Sweden
Luxembourg,0,Sweden
Romania,0,Sweden
Austria,0,United Kingdom
Denmark,0,United Kingdom
Greece,0,United Kingdom
Spain,0,United Kingdom
Finland,0,United Kingdom
Italy,0,United Kingdom
Luxembourg,0,United Kingdom
Romania,0,United Kingdom
Sweden,5,United Kingdom
Austria,0,British overseas countries and territories
Romania,0,British overseas countries and territories
Austria,0,European Free Trade Association
Austria,0,Iceland
Romania,0,Iceland
Austria,0,Liechtenstein
Romania,0,Liechtenstein
Austria,0,Norway
Denmark,0,Norway
Greece,0,Norway
Spain,0,Norway
Finland,0,Norway
Italy,0,Norway
Luxembourg,0,Norway
Romania,0,Norway
Austria,0,Switzerland
Denmark,0,Switzerland
Greece,0,Switzerland
Spain,0,Switzerland
Finland,0,Switzerland
Italy,0,Switzerland
Luxembourg,0,Switzerland
Romania,0,Switzerland
Sweden,0,Switzerland
Austria,225,"Former Yugoslav Republic of Macedonia, the"
Belgium,565,"Former Yugoslav Republic of Macedonia, the"
Romania,0,"Former Yugoslav Republic of Macedonia, the"
Austria,1250,Turkey
Belgium,850,Turkey
Germany,28325,Turkey
Denmark,50,Turkey
Greece,430,Turkey
Spain,5,Turkey
Finland,50,Turkey
France,1770,Turkey
Italy,20,Turkey
Luxembourg,5,Turkey
Netherlands,720,Turkey
Portugal,0,Turkey
Romania,0,Turkey
Sweden,385,Turkey
United Kingdom,1865,Turkey
Austria,10600,Central and Eastern Europe
Austria,290,Albania
Belgium,80,Albania
Denmark,10,Albania
Greece,100,Albania
Spain,15,Albania
Finland,10,Albania
France,85,Albania
Italy,170,Albania
Luxembourg,5,Albania
Netherlands,140,Albania
Romania,325,Albania
Sweden,65,Albania
Austria,0,Andorra
Denmark,0,Andorra
Greece,0,Andorra
Spain,0,Andorra
Finland,0,Andorra
Italy,0,Andorra
Luxembourg,0,Andorra
Romania,0,Andorra
Austria,0,Belarus
Belgium,30,Belarus
Greece,0,Belarus
Netherlands,15,Belarus
Portugal,0,Belarus
Romania,0,Belarus
Austria,1180,Bosnia and Herzegovina
Romania,0,Bosnia and Herzegovina
Austria,0,Moldova
Belgium,5,Moldova
Greece,0,Moldova
Netherlands,15,Moldova
Portugal,0,Moldova
Romania,0,Moldova
Sweden,10,Moldova
Austria,0,Monaco
Romania,0,Monaco
Austria,0,Russia
Denmark,340,Russia
Greece,15,Russia
Luxembourg,0,Russia
Netherlands,410,Russia
Portugal,5,Russia
Romania,0,Russia
Sweden,290,Russia
Austria,0,San Marino
Romania,0,San Marino
Austria,0,Ukraine
Belgium,15,Ukraine
Greece,0,Ukraine
France,5,Ukraine
Italy,10,Ukraine
Netherlands,80,Ukraine
Portugal,5,Ukraine
Romania,0,Ukraine
Sweden,0,Ukraine
Austria,0,Vatican City State
Romania,0,Vatican City State
Austria,5915,Serbia
Belgium,560,Serbia
Romania,0,Serbia
Austria,1250,Other european countries
Austria,835,Africa
Belgium,7425,Africa
Germany,67410,Africa
Denmark,1370,Africa
Greece,30,Africa
Spain,3020,Africa
Finland,375,Africa
France,9395,Africa
Italy,820,Africa
Luxembourg,50,Africa
Netherlands,6430,Africa
Portugal,430,Africa
Sweden,4570,Africa
United Kingdom,7630,Africa
Austria,0,Angola
Belgium,295,Angola
Denmark,0,Angola
Greece,0,Angola
Spain,185,Angola
Finland,10,Angola
France,330,Angola
Italy,10,Angola
Luxembourg,5,Angola
Netherlands,120,Angola
Portugal,110,Angola
Romania,0,Angola
Sweden,30,Angola
United Kingdom,245,Angola
Austria,0,Cameroon
Belgium,40,Cameroon
Denmark,5,Cameroon
Greece,0,Cameroon
Spain,10,Cameroon
Finland,0,Cameroon
France,85,Cameroon
Italy,0,Cameroon
Portugal,0,Cameroon
Romania,0,Cameroon
United Kingdom,40,Cameroon
Austria,0,Central African Republic
Belgium,0,Central African Republic
Denmark,0,Central African Republic
Greece,0,Central African Republic
Spain,0,Central African Republic
Finland,0,Central African Republic
France,20,Central African Republic
Italy,0,Central African Republic
Portugal,0,Central African Republic
Romania,0,Central African Republic
Austria,0,Chad
Belgium,5,Chad
Denmark,0,Chad
Greece,0,Chad
Spain,10,Chad
Finland,0,Chad
France,25,Chad
Italy,0,Chad
Portugal,0,Chad
Romania,0,Chad
Austria,0,Congo
Belgium,20,Congo
Denmark,0,Congo
Greece,0,Congo
Spain,0,Congo
Finland,0,Congo
France,355,Congo
Italy,0,Congo
Portugal,0,Congo
Romania,0,Congo
United Kingdom,15,Congo
Austria,0,Democratic Republic of the Congo
Belgium,3805,Democratic Republic of the Congo
Germany,8305,Democratic Republic of the Congo
Denmark,10,Democratic Republic of the Congo
Greece,0,Democratic Republic of the Congo
Spain,260,Democratic Republic of the Congo
Finland,80,Democratic Republic of the Congo
France,3065,Democratic Republic of the Congo
Italy,30,Democratic Republic of the Congo
Luxembourg,20,Democratic Republic of the Congo
Netherlands,475,Democratic Republic of the Congo
Portugal,275,Democratic Republic of the Congo
Romania,0,Democratic Republic of the Congo
Sweden,200,Democratic Republic of the Congo
United Kingdom,880,Democratic Republic of the Congo
Austria,0,Equatorial Guinea
Denmark,0,Equatorial Guinea
Greece,0,Equatorial Guinea
Spain,40,Equatorial Guinea
Finland,0,Equatorial Guinea
France,0,Equatorial Guinea
Italy,0,Equatorial Guinea
Portugal,0,Equatorial Guinea
Romania,0,Equatorial Guinea
Sweden,0,Equatorial Guinea
Austria,0,Gabon
Belgium,5,Gabon
Denmark,0,Gabon
Greece,0,Gabon
Spain,0,Gabon
Finland,0,Gabon
France,5,Gabon
Italy,0,Gabon
Portugal,0,Gabon
Romania,0,Gabon
Austria,0,São Tomé and Príncipe
Denmark,0,São Tomé and Príncipe
Greece,0,São Tomé and Príncipe
Spain,0,São Tomé and Príncipe
Finland,0,São Tomé and Príncipe
Italy,0,São Tomé and Príncipe
Portugal,0,São Tomé and Príncipe
Romania,0,São Tomé and Príncipe
Austria,0,Burundi
Belgium,15,Burundi
